id,attributes,price,Agency,lat,lng
21104621,"3 սեն., 100 քմ, 7/15 հարկ",$900 ամսական,"<span class=""ge5"">Գործակալություն</span>",40.186186,44.476470
22287859,"3 սեն., 80 քմ, 4/15 հարկ","280,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.186186,44.476470
22363911,"2 սեն., 73 քմ, 15/16 հարկ","170,000 ֏ ամսական",,40.206549,44.465026
22647181,"2 սեն., 72 քմ, 13/16 հարկ","330,000 ֏ ամսական",,40.199413,44.476695
22610403,"2 սեն., 65 քմ, 6/16 հարկ","280,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22605846,"2 սեն., 65 քմ, 6/16 հարկ","270,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
21950258,"2 սեն., 54 քմ, 15/16 հարկ","339,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
21917447,"2 սեն., 65 քմ, 7/17 հարկ","330,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22036370,"3 սեն., 72 քմ, 7/13 հարկ","300,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22440154,"2 սեն., 42 քմ, 5/16 հարկ","300,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
21456616,"2 սեն., 70 քմ, 10/16 հարկ","280,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22643253,"2 սեն., 42 քմ, 5/16 հարկ","300,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22556459,"2 սեն., 58 քմ, 6/11 հարկ","250,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22575733,"2 սեն., 55 քմ, 5/12 հարկ","250,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
21861639,"2 սեն., 65 քմ, 8/10 հարկ","270,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22638515,"2 սեն., 80 քմ, 3/15 հարկ","290,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
22555480,"2 սեն., 65 քմ, 4/12 հարկ","280,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
21873178,"2 սեն., 60 քմ, 8/10 հարկ","330,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
21401552,"2 սեն., 50 քմ, 7/12 հարկ","310,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.199413,44.476695
21920251,"3 սեն., 58 քմ, 6/21 հարկ","250,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.214001,44.458656
22633225,"4 սեն., 92 քմ, 4/16 հարկ","270,000 ֏ ամսական",,40.214001,44.458656
21097888,"2 սեն., 49 քմ, 7/10 հարկ","250,000 ֏ ամսական",,40.206089,44.476579
22627698,"2 սեն., 70 քմ, 7/14 հարկ","200,000 ֏ ամսական",,40.211535,44.459690
22136886,"3 սեն., 74 քմ, 8/14 հարկ","280,000 ֏ ամսական",,40.195493,44.469643
22661264,"3 սեն., 74 քմ, 8/14 հարկ","250,000 ֏ ամսական","<span class=""ge5"">Գործակալություն</span>",40.195493,44.469643
