id,region
21104621,"Malatia
Sebastia"
22287859,"Malatia
Sebastia"
22363911,Ajapnyak
22647181,Ajapnyak
22610403,Ajapnyak
22605846,Ajapnyak
21950258,Ajapnyak
21917447,Ajapnyak
22036370,Ajapnyak
22440154,Ajapnyak
21456616,Ajapnyak
22643253,Ajapnyak
22556459,Ajapnyak
22575733,Ajapnyak
21861639,Ajapnyak
22638515,Ajapnyak
22555480,Ajapnyak
21873178,Ajapnyak
21401552,Ajapnyak
21920251,Ajapnyak
22633225,Ajapnyak
21097888,Ajapnyak
22627698,Ajapnyak
22136886,Ajapnyak
22661264,Ajapnyak
22627670,Ajapnyak
22668926,"Malatia
Sebastia"
22657973,"Malatia
Sebastia"
22657569,"Malatia
Sebastia"
22643484,"Malatia
Sebastia"
21777711,Ajapnyak
21033372,Ajapnyak
22675580,Ajapnyak
22277938,Ajapnyak
22581114,Ajapnyak
22675210,Ajapnyak
22660949,Ajapnyak
22503620,Ajapnyak
22508015,Ajapnyak
21472739,Ajapnyak
22674872,Ajapnyak
22618617,"Malatia
Sebastia"
22643466,"Malatia
Sebastia"
22641248,Ajapnyak
18220365,Ajapnyak
21281695,Ajapnyak
18342859,Ajapnyak
22674501,"Malatia
Sebastia"
20963177,"Malatia
Sebastia"
22674425,"Malatia
Sebastia"
22674327,"Malatia
Sebastia"
22657513,"Malatia
Sebastia"
22565766,"Malatia
Sebastia"
21008177,Ajapnyak
21176705,Ajapnyak
21749602,Ajapnyak
21059091,Ajapnyak
22072871,Ajapnyak
20974568,Ajapnyak
21715479,Ajapnyak
20733514,Ajapnyak
22488538,Ajapnyak
22189136,Ajapnyak
22090558,Ajapnyak
22555145,Ajapnyak
22002632,"Malatia
Sebastia"
22589472,"Malatia
Sebastia"
22636952,Ajapnyak
22636983,Ajapnyak
22627660,Ajapnyak
22479569,Ajapnyak
21676448,Ajapnyak
21729539,Ajapnyak
22626335,Ajapnyak
22462678,Ajapnyak
22645261,Ajapnyak
22112913,Ajapnyak
21963702,Ajapnyak
21313337,Ajapnyak
21863843,Ajapnyak
22464717,"Malatia
Sebastia"
22543943,"Malatia
Sebastia"
22464199,Ajapnyak
22462078,Ajapnyak
22657770,Ajapnyak
22641376,Ajapnyak
21982275,Ajapnyak
21679477,Ajapnyak
22494303,Ajapnyak
22480059,Ajapnyak
22187777,Ajapnyak
22045599,Ajapnyak
22097598,Ajapnyak
22551529,Ajapnyak
22551578,Ajapnyak
22175565,Ajapnyak
22620339,Ajapnyak
22072052,Ajapnyak
22597693,Ajapnyak
22319684,Ajapnyak
22586657,Ajapnyak
22604535,Ajapnyak
20763398,Davtashen
21600051,Davtashen
22453952,Ajapnyak
22671508,Ajapnyak
22665629,Ajapnyak
22494973,Ajapnyak
22644396,Ajapnyak
22654855,Ajapnyak
22665008,Ajapnyak
22447004,"Malatia
Sebastia"
20974575,"Malatia
Sebastia"
21195620,Ajapnyak
22671154,Ajapnyak
22245566,Ajapnyak
22151414,Ajapnyak
22072801,"Malatia
Sebastia"
22558016,"Malatia
Sebastia"
22647807,"Malatia
Sebastia"
22140073,"Malatia
Sebastia"
22614524,"Malatia
Sebastia"
22647806,"Malatia
Sebastia"
21749571,"Malatia
Sebastia"
21840562,"Malatia
Sebastia"
22239925,"Malatia
Sebastia"
20789767,Ajapnyak
21106975,"Malatia
Sebastia"
22492534,"Malatia
Sebastia"
22036350,"Malatia
Sebastia"
21405203,"Malatia
Sebastia"
21576076,"Malatia
Sebastia"
16922070,"Malatia
Sebastia"
21324379,"Malatia
Sebastia"
16209681,"Malatia
Sebastia"
17014099,"Malatia
Sebastia"
22485902,"Malatia
Sebastia"
22198921,"Malatia
Sebastia"
22593000,Ajapnyak
22632652,Ajapnyak
22360730,"Malatia
Sebastia"
22239944,"Malatia
Sebastia"
22310204,"Malatia
Sebastia"
22274286,"Malatia
Sebastia"
22196067,Ajapnyak
22670133,Ajapnyak
22560124,Ajapnyak
22272326,Ajapnyak
22009392,Ajapnyak
22568339,Ajapnyak
22526620,Ajapnyak
21026367,Ajapnyak
21950579,"Malatia
Sebastia"
22491926,"Malatia
Sebastia"
21014095,Ajapnyak
22656740,Ajapnyak
22316553,Ajapnyak
22346858,Ajapnyak
22653791,Ajapnyak
21804461,Ajapnyak
21776580,Ajapnyak
21569146,Ajapnyak
22343423,Ajapnyak
22656585,Ajapnyak
22661920,
22566748,Ajapnyak
22634597,Ajapnyak
22119918,Ajapnyak
22271406,Ajapnyak
21930578,Ajapnyak
21574790,Ajapnyak
22454837,Ajapnyak
22655849,Ajapnyak
20377394,Ajapnyak
22390143,Ajapnyak
22169799,Ajapnyak
21322734,Ajapnyak
21549166,Ajapnyak
22665762,Ajapnyak
22664572,Ajapnyak
22650638,Ajapnyak
22509783,Ajapnyak
22664098,Ajapnyak
22650986,Ajapnyak
22637467,Kentron
22115328,
21431939,Ajapnyak
21216117,
22540119,Ajapnyak
22618419,Ajapnyak
22593861,Ajapnyak
22660513,Ajapnyak
22271743,Ajapnyak
18984806,Ajapnyak
22479589,Ajapnyak
22479608,Ajapnyak
22350057,Ajapnyak
22602374,Ajapnyak
22506024,Ajapnyak
21934508,Ajapnyak
22657462,Ajapnyak
22627620,Ajapnyak
22632737,Ajapnyak
22634277,Ajapnyak
22636501,Arabkir
21895096,Ajapnyak
21211240,Ajapnyak
22291878,Ajapnyak
22489278,"Malatia
Sebastia"
22599805,Ajapnyak
22642604,Ajapnyak
21659624,Ajapnyak
21995050,Ajapnyak
20985882,Ajapnyak
22640055,"Malatia
Sebastia"
22612605,Arabkir
22648095,Ajapnyak
22590776,Ajapnyak
22631665,Ajapnyak
22590073,
22645475,Ajapnyak
22586851,Ajapnyak
22180261,Ajapnyak
22457018,Ajapnyak
20652629,Ajapnyak
22604564,Ajapnyak
21635446,"Malatia
Sebastia"
20751579,Ajapnyak
22641240,Ajapnyak
21798067,Ajapnyak
21203418,Ajapnyak
20830657,Ajapnyak
22637146,Ajapnyak
22636745,Ajapnyak
22636647,"Malatia
Sebastia"
22529787,Ajapnyak
22607947,Ajapnyak
22634608,Ajapnyak
22607977,Ajapnyak
22596443,Ajapnyak
22631632,Ajapnyak
22416291,Ajapnyak
22408911,Ajapnyak
22079661,Ajapnyak
22624840,Ajapnyak
22616517,Ajapnyak
22603418,Ajapnyak
22601092,Ajapnyak
22400847,Ajapnyak
22166278,Ajapnyak
22174522,
22550829,Ajapnyak
14192060,"Malatia
Sebastia"
22545602,Ajapnyak
21422855,Ajapnyak
22471668,Ajapnyak
21444117,Ajapnyak
21549027,"Malatia
Sebastia"
22108081,"Malatia
Sebastia"
22566751,Ajapnyak
22536255,Ajapnyak
22607526,Ajapnyak
20284272,Ajapnyak
21863837,Ajapnyak
22469638,Ajapnyak
22505006,Ajapnyak
21061158,Ajapnyak
22133918,"Malatia
Sebastia"
22103140,Ajapnyak
22057030,Ajapnyak
22294661,"Malatia
Sebastia"
18835573,Ajapnyak
22219528,Ajapnyak
22520584,Ajapnyak
19916345,"Malatia
Sebastia"
20353826,Ajapnyak
21279430,Ajapnyak
21685727,Ajapnyak
22080236,Arabkir
16979950,Arabkir
21761951,Arabkir
17478576,Arabkir
17012904,Arabkir
22215827,Arabkir
21830677,Arabkir
17265134,Arabkir
22631343,"Kanaker
Zeytun"
20727168,Arabkir
22435872,Arabkir
22486333,Arabkir
22435162,Arabkir
22633524,Arabkir
22541550,Arabkir
21720225,Arabkir
19887072,Arabkir
22534963,Arabkir
22620552,Arabkir
21491326,Arabkir
22617597,Arabkir
22261915,Arabkir
21918089,Arabkir
22540762,Arabkir
